ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m
1779125471.4621,4.5005,0.0000,30.0000,,,,,,,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125471.5033,0.5002,0.0000,30.0000,39.98101301,116.34404066,79.6141,39.98099998,116.34405275,80.0135,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125471.5622,5.0008,0.0000,30.0000,39.98101519,116.34400702,80.7013,39.98100497,116.34399075,78.5617,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125471.6032,1.0000,0.0000,30.0000,39.98100137,116.34407416,77.5276,39.98100008,116.34405911,80.0118,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125471.6623,5.5013,0.0000,30.0000,39.98099933,116.34402717,79.7227,39.98101647,116.34399975,79.7682,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125471.7033,1.5004,0.0000,30.0000,39.98100290,116.34403665,82.0684,39.98099971,116.34406470,80.0329,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125471.7623,6.0011,0.0000,30.0000,39.98099526,116.34401006,80.7985,39.98100556,116.34402402,80.6462,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125471.8033,2.0002,0.0000,30.0000,39.98100619,116.34406635,83.6359,39.98100006,116.34407071,80.0867,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125471.8622,6.5008,0.0000,30.0000,39.98099452,116.34406111,79.2316,39.98100830,116.34400914,81.6935,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125471.9038,2.5027,0.0000,30.0000,39.98098087,116.34408200,80.9910,39.98100016,116.34407592,80.0280,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125471.9623,7.0013,0.0000,30.0000,39.98098868,116.34402734,78.7633,39.98101002,116.34404078,80.8147,1.5000,0.0300,98.00,1,GNSS_ONLY,1.5000
1779125472.0034,3.0006,0.0000,30.0000,39.98099164,116.34408354,78.4974,39.98100021,116.34408204,80.0417,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125472.0625,7.5024,0.0000,30.0000,39.98100313,116.34402347,80.1750,39.98101174,116.34403902,80.3354,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125472.1035,3.5012,0.0000,30.0000,39.98102708,116.34406564,80.6589,39.98100046,116.34408792,79.9609,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125472.1622,8.0009,0.0000,30.0000,39.98100091,116.34405298,80.4337,39.98098037,116.34405215,79.5205,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125472.2034,4.0007,0.0000,30.0000,39.98100002,116.34411727,79.2677,39.98099973,116.34409376,79.9980,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125472.2621,8.5001,0.0000,30.0000,39.98099139,116.34403863,79.5873,39.98098833,116.34407319,81.4524,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125472.3035,4.5011,0.0000,30.0000,39.98102011,116.34409340,79.8356,39.98099993,116.34409913,79.9641,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125472.3622,9.0010,0.0000,30.0000,39.98099549,116.34402317,80.2441,39.98100958,116.34406308,81.1900,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125472.4034,5.0008,0.0000,30.0000,39.98099581,116.34409074,80.5059,39.98100026,116.34410602,79.9634,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125472.4621,9.5006,0.0000,30.0000,39.98099377,116.34405249,81.2870,39.98098281,116.34405526,78.3001,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125472.5033,5.5002,0.0000,30.0000,39.98098837,116.34411982,82.9892,39.98100016,116.34411070,80.0110,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125472.5626,10.0030,0.0000,30.0000,39.98100670,116.34404831,80.2136,39.98099424,116.34407662,80.2378,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125472.6035,6.0014,0.0000,30.0000,39.98097849,116.34411946,82.7008,39.98100049,116.34411764,80.0516,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
1779125472.6621,10.5004,0.0000,30.0000,39.98099583,116.34408136,80.6852,39.98099511,116.34405872,79.4274,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000
1779125472.7034,6.5008,0.0000,30.0000,39.98099253,116.34411941,80.5625,39.98099959,116.34412355,79.9596,1.5000,0.0300,98.00,3,RTK_FIXED,0.0300
