ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_error_m,rtk_error_m,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m,correction_available,correction_quality,correction_age_sec,correction_sequence_id
1779301351.2216,0.0000,0.0000,0.2270,,,,,,,0.0000,0.0000,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,0.1999,1
1779301351.3211,0.0000,0.0000,0.2270,39.98098599,116.34400536,51.3527,39.98097371,116.34401654,48.2737,1.9773,3.7908,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,0.3999,2
1779301351.4212,0.0000,0.0000,0.2270,39.98099574,116.34400225,50.2018,39.98101185,116.34398500,51.3937,0.5123,2.1768,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,0.3999,2
1779301351.5211,0.0000,0.0000,0.2270,39.98101519,116.34400116,50.9283,39.98100497,116.34398489,48.7887,1.8332,2.0090,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,0.5999,3
1779301351.6211,0.0000,0.0000,0.2270,39.98099933,116.34401545,49.9497,39.98101647,116.34398803,49.9952,1.3486,2.1118,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,0.5999,3
1779301351.7211,0.0000,0.0000,0.2270,39.98099526,116.34399247,51.0255,39.98100556,116.34400643,50.8732,1.1530,1.0495,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,0.7999,4
1779301351.8212,0.0000,0.0000,0.2270,39.98099452,116.34403766,49.4586,39.98100830,116.34398569,51.9205,3.3589,2.2829,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,0.7999,4
1779301351.9211,0.0000,0.0000,0.2270,39.98098868,116.34399800,48.9903,39.98101002,116.34401144,51.0417,1.7739,1.6909,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,0.9999,5
1779301352.0211,0.0000,0.0000,0.2270,39.98100313,116.34398830,50.4020,39.98101174,116.34400385,50.5624,1.0717,1.3888,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,0.9999,5
1779301352.1211,0.0000,0.0000,0.2270,39.98100091,116.34401194,50.6607,39.98098037,116.34401110,49.7475,1.1115,2.4298,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,1.1999,6
1779301352.2212,0.0000,0.0000,0.2270,39.98099139,116.34399173,49.8143,39.98098833,116.34402629,51.6794,1.2596,2.9706,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,1.1999,6
1779301352.3211,0.0000,0.0000,0.2270,39.98099549,116.34397041,50.4711,39.98100958,116.34401031,51.4170,2.5854,1.8242,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,1.4002,7
1779301352.4211,0.0000,0.0000,0.2270,39.98099377,116.34399387,51.5140,39.98098281,116.34399664,48.5271,1.5527,2.5756,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,1.4002,7
1779301352.5216,0.0000,0.0000,0.2270,39.98100670,116.34398383,50.4406,39.98099424,116.34401214,50.4648,1.5824,1.2410,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,1.5999,8
1779301352.6211,0.0000,0.0000,0.2270,39.98099583,116.34401100,50.9122,39.98099511,116.34398836,49.6544,1.2511,1.2690,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,1.5999,8
1779301352.7211,0.0000,0.0000,0.2270,39.98100656,116.34397897,49.5229,39.98100648,116.34400022,50.8968,2.0608,0.9844,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,1.7999,9
1779301352.8211,0.0000,0.0000,0.2270,39.98099867,116.34401170,49.5921,39.98097726,116.34399860,48.0563,1.1921,3.3365,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,1.7999,9
1779301352.9210,0.0000,0.0000,0.2270,39.98098656,116.34397674,50.8267,39.98099490,116.34398408,52.1758,2.5561,2.4422,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,1.9999,10
1779301353.0210,0.0000,0.0000,0.2270,39.98100994,116.34399374,48.8266,39.98098720,116.34399639,49.7185,1.8630,1.5441,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,1.9999,10
1779301353.1210,0.0000,0.0000,0.2270,39.98097672,116.34401478,50.8786,39.98099199,116.34400418,48.0579,2.9541,2.3720,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.1999,11
1779301353.2211,0.0000,0.0000,0.2270,39.98099287,116.34400127,50.5760,39.98102158,116.34400038,49.8680,0.8743,2.4296,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.1999,11
1779301353.3210,0.0000,0.0000,0.2270,39.98100242,116.34398200,50.5570,39.98101125,116.34402390,50.7623,1.5932,2.4520,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.3999,12
1779301353.4214,0.0000,0.0000,0.2270,39.98098398,116.34402573,49.2674,39.98099475,116.34398371,48.1620,2.9864,2.5569,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.3999,12
1779301353.5220,0.0000,0.0000,0.2270,39.98099701,116.34401117,48.0208,39.98100422,116.34398214,51.4842,2.4261,2.0304,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.5998,13
1779301353.6210,0.0000,0.0000,0.2270,39.98103926,116.34403511,50.8486,39.98097127,116.34398260,50.6286,5.3349,3.5485,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.5998,13
1779301353.7210,0.0000,0.0000,0.2270,39.98099440,116.34398570,49.3089,39.98101436,116.34399752,50.4626,1.6487,1.6300,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.7999,14
1779301353.8212,0.0000,0.0000,0.2270,39.98098604,116.34399721,47.7150,39.98099928,116.34399145,52.8789,2.9631,2.7516,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.7999,14
1779301353.9211,0.0000,0.0000,0.2270,39.98101324,116.34400229,49.4781,39.98098700,116.34397916,49.1392,1.6650,2.5374,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.9999,15
1779301354.0212,0.0000,0.0000,0.2270,39.98098893,116.34403743,51.4847,39.98101255,116.34398412,50.8044,3.6460,2.0299,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,2.9999,15
1779301354.1211,0.0000,0.0000,0.2270,39.98099945,116.34399725,49.2448,39.98099387,116.34400784,48.3886,1.0117,2.0720,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.1999,16
1779301354.2211,0.0000,0.0000,0.2270,39.98100233,116.34397753,52.5956,39.98099840,116.34400281,50.6557,3.0581,0.5226,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,False,0.0000,3.1999,16
