ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_error_m,rtk_error_m,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m,correction_available,correction_quality,correction_age_sec,correction_sequence_id,gnss_noise_std_m,mission_viability,scenario
1780475626.0486,0.0161,-0.0010,50.2232,,,,,,,0.0000,0.0000,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,,,,,,,compound_disaster
1780475626.1484,0.0147,0.0005,50.2248,39.98098598,116.34400555,101.3489,39.98097370,116.34401673,98.2700,1.9773,3.7908,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,True,0.9500,0.0000,0,1.5000,APPROACH_VIABLE,compound_disaster
1780475626.2486,0.0139,0.0015,50.2255,39.98099574,116.34400242,100.1996,39.98100024,116.34399987,100.2481,0.5123,0.0435,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,0,1.5000,LANDING_VIABLE,compound_disaster
1780475626.3485,0.0132,0.0025,50.2261,39.98101520,116.34400132,100.9268,39.98100011,116.34399986,100.1967,1.8332,0.0402,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,1,1.5000,LANDING_VIABLE,compound_disaster
1780475626.4485,0.0127,0.0035,50.2267,39.98099935,116.34401560,99.9488,39.98100035,116.34399992,100.2215,1.3486,0.0422,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,1,1.5000,LANDING_VIABLE,compound_disaster
1780475626.5484,0.0124,0.0046,50.2273,39.98099529,116.34399262,101.0251,39.98100014,116.34400028,100.2396,1.1530,0.0210,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,2,1.5000,LANDING_VIABLE,compound_disaster
1780475626.6485,0.0123,0.0057,50.2280,39.98099456,116.34403781,99.4589,39.98100021,116.34399986,100.2611,3.3589,0.0457,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,2,1.5000,LANDING_VIABLE,compound_disaster
1780475626.7485,0.0123,0.0069,50.2288,39.98098873,116.34399814,98.9912,39.98100025,116.34400037,100.2443,1.7739,0.0338,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,3,1.5000,LANDING_VIABLE,compound_disaster
1780475626.8485,0.0125,0.0080,50.2298,39.98100319,116.34398844,100.4038,39.98100030,116.34400022,100.2355,1.0717,0.0278,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,3,1.5000,LANDING_VIABLE,compound_disaster
1780475626.9485,0.0129,0.0092,50.2309,39.98100098,116.34401209,100.6634,39.98099968,116.34400037,100.2202,1.1115,0.0486,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,4,1.5000,LANDING_VIABLE,compound_disaster
