ros_time_sec,ground_truth_x,ground_truth_y,ground_truth_z,raw_gnss_lat,raw_gnss_lon,raw_gnss_alt,rtk_lat,rtk_lon,rtk_alt,raw_gnss_error_m,rtk_error_m,raw_gnss_std_m,rtk_std_m,improvement_pct,rtk_status_code,rtk_status_name,rtk_accuracy_m,correction_available,correction_quality,correction_age_sec,correction_sequence_id,gnss_noise_std_m,mission_viability,scenario
1780667997.2682,0.0000,0.0000,0.2270,,,,,,,0.0000,0.0000,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,,,,,,,compound_disaster
1780667997.3682,0.0000,0.0000,0.2270,39.98098599,116.34400536,51.3527,39.98097371,116.34401654,48.2737,1.9773,3.7908,1.5000,1.5000,0.00,1,GNSS_ONLY,1.5000,True,0.9500,0.0000,0,1.5000,APPROACH_VIABLE,compound_disaster
1780667997.4681,0.0000,0.0000,0.2270,39.98099574,116.34400225,50.2018,39.98100024,116.34399970,50.2503,0.5123,0.0435,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,0,1.5000,LANDING_VIABLE,compound_disaster
1780667997.5679,0.0000,0.0000,0.2270,39.98101519,116.34400116,50.9283,39.98100010,116.34399970,50.1982,1.8332,0.0402,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,1,1.5000,LANDING_VIABLE,compound_disaster
1780667997.6680,0.0000,0.0000,0.2270,39.98099933,116.34401545,49.9497,39.98100033,116.34399976,50.2224,1.3486,0.0422,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,1,1.5000,LANDING_VIABLE,compound_disaster
1780667997.7681,0.0000,0.0000,0.2270,39.98099526,116.34399247,51.0255,39.98100011,116.34400013,50.2399,1.1530,0.0210,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,2,1.5000,LANDING_VIABLE,compound_disaster
1780667997.8680,0.0000,0.0000,0.2270,39.98099452,116.34403766,49.4586,39.98100017,116.34399971,50.2609,3.3589,0.0457,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,2,1.5000,LANDING_VIABLE,compound_disaster
1780667997.9680,0.0000,0.0000,0.2270,39.98098868,116.34399800,48.9903,39.98100020,116.34400023,50.2433,1.7739,0.0338,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,3,1.5000,LANDING_VIABLE,compound_disaster
1780667998.0680,0.0000,0.0000,0.2270,39.98100313,116.34398830,50.4020,39.98100023,116.34400008,50.2337,1.0717,0.0278,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,3,1.5000,LANDING_VIABLE,compound_disaster
1780667998.1684,0.0000,0.0000,0.2270,39.98100091,116.34401194,50.6607,39.98099961,116.34400022,50.2174,1.1115,0.0486,1.5000,0.0330,97.80,3,RTK_FIXED,0.0330,True,0.9500,0.0000,4,1.5000,LANDING_VIABLE,compound_disaster
